session_number,Customer ID,song_number,Date,Artist,Song
1,cd2834,1,2020-12-22T13:59:59.971200Z,Wham!,Last Christmas
2,2de3d7,1,2020-12-22T15:00:00Z,Dolly Parton,9 To 5
2,2de3d7,2,2020-12-22T15:02:00.009600Z,Camilla Cabello Ft. Young Thug,Havana
2,2de3d7,3,2020-12-22T15:04:00.019200Z,Moana,How Far I’ll Go
3,6.9900000000000002E+67,1,2020-12-22T18:00:00Z,Backstreet Boys,I Want It That Way
4,316313,1,2020-12-22T19:00:00.028800Z,Alexandra Burke,Hallelujah
4,316313,2,2020-12-22T19:03:00Z,Luis Fonsi & Daddy Yankee,Despacito
4,316313,3,2020-12-22T19:05:00.009600Z,The Lion King,Can You Feel The Love Tonight
4,316313,4,2020-12-22T19:07:00.019200Z,Billie Eilish,Bad Guy
5,aa0846,1,2020-12-22T22:59:59.971200Z,Lil Nas X,Old Town Road
5,aa0846,2,2020-12-22T23:03:00.028800Z,ABBA,Dancing Queen
5,aa0846,3,2020-12-22T23:05:00.038400Z,Alexandra Burke,Hallelujah
5,aa0846,4,2020-12-22T23:08:00.009600Z,Aladdin,A Whole New World
5,aa0846,5,2020-12-22T23:10:59.980800Z,Loren Allred,Never Enough (The Greatest Showman)
5,aa0846,6,2020-12-22T23:12:59.990400Z,Aqua,Barbie Girl
5,aa0846,7,2020-12-22T23:15:00Z,Vanilla Ice,Ice Ice Baby
5,aa0846,8,2020-12-22T23:17:59.971200Z,Mark Ronson Ft. Bruno Mars,Uptown Funk
6,7da7c9,1,2020-12-23T07:00:00.028800Z,Robbie Williams,Angels
7,15885d,1,2020-12-23T07:59:59.971200Z,Frank Sinatra,My Way
7,15885d,2,2020-12-23T08:03:00.028800Z,Little Mix,Shout Out To My Ex
7,15885d,3,2020-12-23T08:06:00Z,Frank Sinatra,New York New York
7,15885d,4,2020-12-23T08:08:59.971200Z,Ed Sheeran,Shape Of You
8,c02782,1,2020-12-23T12:00:00Z,Wham!,Last Christmas
8,c02782,2,2020-12-23T12:02:00.009600Z,Ed Sheeran,Perfect
8,c02782,3,2020-12-23T12:04:00.019200Z,Moana,How Far I’ll Go
8,c02782,4,2020-12-23T12:06:59.990400Z,Lady Gaga & Bradley Cooper,Shallow
9,abae4d,1,2020-12-23T16:00:00.028800Z,Moana,How Far I’ll Go
10,01fc7c,1,2020-12-23T16:59:59.971200Z,Ike And Tina Turner,Proud Mary
10,01fc7c,2,2020-12-23T17:01:59.980800Z,Whitney Houston,I Wanna Dance With Somebody
10,01fc7c,3,2020-12-23T17:05:00.038400Z,The Proclaimers,I’m Gonna Be (500 Miles)
10,01fc7c,4,2020-12-23T17:08:00.009600Z,Lady Gaga & Bradley Cooper,Shallow
10,01fc7c,5,2020-12-23T17:10:59.980800Z,Pinkfong,Baby Shark
10,01fc7c,6,2020-12-23T17:14:00.038400Z,The Lion King,I Just Can’t Wait To Be King
10,01fc7c,7,2020-12-23T17:15:59.961600Z,The Proclaimers,I’m Gonna Be (500 Miles)
11,2e5db7,1,2020-12-24T01:00:00.028800Z,John Denver,"Take Me Home, Country Roads"
12,4999af,1,2020-12-24T01:59:59.971200Z,Loren Allred,Never Enough (The Greatest Showman)
12,4999af,2,2020-12-24T02:01:59.980800Z,John Denver,"Take Me Home, Country Roads"
13,cdda70,1,2020-12-24T04:00:00.028800Z,Shania Twain,Man! I Feel Like A Woman
13,cdda70,2,2020-12-24T04:03:00Z,Mariah Carey,All I Want For Christmas Is You
13,cdda70,3,2020-12-24T04:05:00.009600Z,Loren Allred,Never Enough (The Greatest Showman)
13,cdda70,4,2020-12-24T04:07:00.019200Z,Bonnie Tyler,Total Eclipse Of The Heart
14,51a416,1,2020-12-24T07:59:59.971200Z,Ed Sheeran,Perfect
14,51a416,2,2020-12-24T08:01:59.980800Z,Mariah Carey,All I Want For Christmas Is You
15,896f04,1,2020-12-24T10:00:00.028800Z,Oasis,Don’t Look Back In Anger
16,d5fcf7,1,2020-12-24T10:59:59.971200Z,The Beatles,Hey Jude
16,d5fcf7,2,2020-12-24T11:03:00.028800Z,Aladdin,A Whole New World
16,d5fcf7,3,2020-12-24T11:06:00Z,Mark Ronson Ft. Bruno Mars,Uptown Funk
16,d5fcf7,4,2020-12-24T11:08:59.971200Z,High School Musical,Breaking Free
17,c01ecb,1,2020-12-24T15:00:00Z,Ariana Grande,7 Rings
18,6eb0e1,1,2020-12-24T16:00:00.028800Z,Oasis,Don’t Look Back In Anger
18,6eb0e1,2,2020-12-24T16:03:00Z,Shania Twain,Man! I Feel Like A Woman
18,6eb0e1,3,2020-12-24T16:05:59.971200Z,Frozen,Let It Go
18,6eb0e1,4,2020-12-24T16:07:59.980800Z,Pinkfong,Baby Shark
18,6eb0e1,5,2020-12-24T16:11:00.038400Z,High School Musical,Breaking Free
18,6eb0e1,6,2020-12-24T16:14:00.009600Z,Bryan Adams,Summer Of ’69
18,6eb0e1,7,2020-12-24T16:16:59.980800Z,Ed Sheeran,Shape Of You
18,6eb0e1,8,2020-12-24T16:20:00.038400Z,Dirty Dancing,The Time Of My Life
18,6eb0e1,9,2020-12-24T16:23:00.009600Z,Ed Sheeran & Justin Bieber,I Don’t Care
18,6eb0e1,10,2020-12-24T16:25:59.980800Z,Lewis Capaldi,Someone You Loved
19,adea16,1,2020-12-25T01:59:59.971200Z,ABBA,Mamma Mia
20,bdc39c,1,2020-12-25T03:00:00Z,Backstreet Boys,Everybody
20,bdc39c,2,2020-12-25T03:02:00.009600Z,Dolly Parton,Jolene
20,bdc39c,3,2020-12-25T03:04:00.019200Z,Dua Lipa,New Rules
20,bdc39c,4,2020-12-25T03:06:59.990400Z,Loren Allred,Never Enough (The Greatest Showman)
20,bdc39c,5,2020-12-25T03:09:00Z,John Denver,"Take Me Home, Country Roads"
20,bdc39c,6,2020-12-25T03:11:59.971200Z,TLC,No Scrubs
20,bdc39c,7,2020-12-25T03:15:00.028800Z,Lil Nas X,Old Town Road
20,bdc39c,8,2020-12-25T03:18:00Z,The Lion King,I Just Can’t Wait To Be King
20,bdc39c,9,2020-12-25T03:20:00.009600Z,The Little Mermaid,Part Of Your World
20,bdc39c,10,2020-12-25T03:22:59.980800Z,The Lion King,I Just Can’t Wait To Be King
20,bdc39c,11,2020-12-25T03:24:59.990400Z,A-Ha,Take On Me
20,bdc39c,12,2020-12-25T03:27:00Z,Grease,Summer Nights
21,b5f816,1,2020-12-25T15:00:00Z,Ed Sheeran,Shape Of You
22,8bc93d,1,2020-12-25T16:00:00.028800Z,Dua Lipa,New Rules
23,793a1c,1,2020-12-25T16:59:59.971200Z,Eminem,Lose Yourself
23,793a1c,2,2020-12-25T17:03:00.028800Z,Elton John & Kiki Dee,Don’t Go Breaking My Heart
23,793a1c,3,2020-12-25T17:05:00.038400Z,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
24,cda151,1,2020-12-25T19:59:59.971200Z,The Proclaimers,I’m Gonna Be (500 Miles)
24,cda151,2,2020-12-25T20:03:00.028800Z,Alexandra Burke,Hallelujah
25,8bc93d,1,2020-12-25T22:00:00.028800Z,The Beatles,Hey Jude
25,8bc93d,2,2020-12-25T22:03:00Z,Queen,Don’t Stop Me Now
25,8bc93d,3,2020-12-25T22:05:59.971200Z,Lady Gaga & Bradley Cooper,Shallow
25,8bc93d,4,2020-12-25T22:09:00.028800Z,Camilla Cabello Ft. Young Thug,Havana
25,8bc93d,5,2020-12-25T22:11:00.038400Z,Queen,Don’t Stop Me Now
25,8bc93d,6,2020-12-25T22:14:00.009600Z,Dirty Dancing,The Time Of My Life
25,8bc93d,7,2020-12-25T22:16:59.980800Z,Lil Nas X,Old Town Road
25,8bc93d,8,2020-12-25T22:20:00.038400Z,Mariah Carey,All I Want For Christmas Is You
26,c01ecb,1,2020-12-26T06:00:00Z,Estelle Ft. Kanye West,American Boy
26,c01ecb,2,2020-12-26T06:02:59.971200Z,ABBA,Waterloo
26,c01ecb,3,2020-12-26T06:06:00.028800Z,Bonnie Tyler,Total Eclipse Of The Heart
27,40581f,1,2020-12-26T09:00:00Z,Lady Gaga & Bradley Cooper,Shallow
27,40581f,2,2020-12-26T09:02:59.971200Z,TLC,No Scrubs
27,40581f,3,2020-12-26T09:06:00.028800Z,TLC,No Scrubs
28,2bb0da,1,2020-12-26T12:00:00Z,Mark Ronson Ft. Amy Winehouse,Valerie
28,2bb0da,2,2020-12-26T12:02:59.971200Z,Lil Nas X,Old Town Road
28,2bb0da,3,2020-12-26T12:06:00.028800Z,ABBA,Gimme Gimme Gimme
28,2bb0da,4,2020-12-26T12:08:00.038400Z,The Lion King,Can You Feel The Love Tonight
28,2bb0da,5,2020-12-26T12:09:59.961600Z,Ed Sheeran,Castle On The Hill
28,2bb0da,6,2020-12-26T12:13:00.019200Z,The Little Mermaid,Under The Sea
28,2bb0da,7,2020-12-26T12:15:00.028800Z,Ed Sheeran,Shape Of You
29,b919e0,1,2020-12-26T19:00:00.028800Z,ABBA,Mamma Mia
30,ccee6c,1,2020-12-26T19:59:59.971200Z,The Proclaimers,I’m Gonna Be (500 Miles)
31,4b11b8,1,2020-12-26T21:00:00Z,Queen,I Want To Break Free
31,4b11b8,2,2020-12-26T21:02:59.971200Z,Aqua,Barbie Girl
31,4b11b8,3,2020-12-26T21:04:59.980800Z,ABBA,Dancing Queen
31,4b11b8,4,2020-12-26T21:06:59.990400Z,Dua Lipa,New Rules
31,4b11b8,5,2020-12-26T21:09:59.961600Z,Elton John,Your Song
